vehicle_reg_No,longitude,latitude
WB654L,101.71917,2.73185
WB654L,101.71183,2.7482
WB654L,101.71183,2.7479
WB654L,101.71183,2.74748
WB654L,101.709831,2.74528
WB654L,101.709831,2.7453
WB654L,101.709831,2.74528
WB654L,101.709831,2.74637
WB654L,101.709831,2.74525
WB654L,101.709831,2.74535
WB654L,101.709831,2.74635
WB654L,101.714989,2.73802
WA9451M,101.705833,2.75192
WA9451M,101.705833,2.7519
WA9451M,101.705833,2.7519
WA9451M,101.705833,2.752
WA9451M,101.705833,2.75207
WA9451M,101.705833,2.75215
WA9451M,101.705833,2.75212
WA9451M,101.705833,2.75222
WA9451M,101.705833,2.75233
WA9451M,101.705833,2.75222
WA9451M,101.705833,2.75217
WA9451M,101.705833,2.75225
WA9451M,101.705833,2.75228
WA9451M,101.705833,2.75225
WA9451M,101.705833,2.75225
WA9451M,101.705833,2.75243
WA9451M,101.705833,2.75207
WA9451M,101.705833,2.75205
WA9451M,101.705833,2.75208
WA9451M,101.705833,2.75233
WA9451M,101.709991,2.74525
WA9451M,101.709991,2.74527
WA9451M,101.705498,2.7518
WA9451M,101.705498,2.75173
WA9451M,101.710999,2.74623
WA9451M,101.710999,2.74597
WA9451M,101.710999,2.74612
WA9451M,101.708839,2.74782
WA9451M,101.705658,2.7519
WA9451M,101.705658,2.75202
WA9451M,101.705658,2.75162
WA9451M,101.705658,2.75202
WA9451M,101.705658,2.75212
WA9451M,101.705658,2.75215
WA9451M,101.705658,2.75217
WA9451M,101.705658,2.75213
WA9451M,101.705658,2.75202
WA9451M,101.708656,2.74747
WA9451M,101.709343,2.7471
WA9451M,101.712341,2.74757
WA9451M,101.712341,2.74808
WA9451M,101.712341,2.74772
WA9451M,101.712341,2.74818
WA9451M,101.712341,2.74788
WA9451M,101.70916,2.7473
WA9451M,101.712502,2.74872
WA9451M,101.712502,2.74828
WA9451M,101.712502,2.74873
WA9451M,101.707161,2.75022
WA9451M,101.707161,2.75035
WA9451M,101.707161,2.7496
WA9451M,101.712158,2.74748
WA9451M,101.710503,2.74637
WA9451M,101.708504,2.74772
WA9451M,101.712662,2.74803
WA9451M,101.712662,2.74845
WA9451M,101.712662,2.74815
WA9451M,101.712662,2.74853
WA9451M,101.710663,2.74647
WA9451M,101.706009,2.7519
WA9451M,101.706009,2.75195
WA9451M,101.706009,2.7521
WA9451M,101.706009,2.75208
WA9451M,101.706009,2.75208
WA9451M,101.706009,2.75207
WA9451M,101.706009,2.75217
WA9451M,101.706009,2.75212
WA9451M,101.706009,2.75232
WA9451M,101.706009,2.75233
WA9451M,101.706009,2.75233
WA9451M,101.706009,2.75235
WA9451M,101.706009,2.75233
WA9451M,101.706009,2.75215
WA9451M,101.706009,2.7522
WA9451M,101.706009,2.75228
WA9451M,101.706009,2.75232
WA9451M,101.706009,2.75228
WA9451M,101.706009,2.7523
WA9451M,101.706009,2.7524
WA9451M,101.706009,2.75245
WA9451M,101.706009,2.75218
WA9451M,101.706009,2.75217
WA9451M,101.706009,2.75212
WA9451M,101.706009,2.7521
WA9451M,101.706009,2.75215
WA9451M,101.706009,2.75225
